1,8995c1,8991
< prg rom size: 0x4000, chr rom size: 0x2000
< C79E  78        SEI                             A:00 X:00 Y:00 P:24 SP:FD CYC:12
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:779
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:782
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:786
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:788
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:791
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:795
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:797
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:800
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:804
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:806
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:809
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:813
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:815
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:818
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:822
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:824
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:827
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:831
